states,cases,deaths,mortality_rate
New York,45934,604,0.0131493011712457
New Jersey,8825,108,0.012237960339943343
California,4791,94,0.019620121060321436
Washington,3700,175,0.0472972972972973
Michigan,3657,92,0.025157232704402517
Massachusetts,3240,35,0.010802469135802469
Florida,3198,46,0.014383989993746092
Illinois,3026,34,0.011235955056179775
Louisiana,2746,119,0.04333576110706482
Pennsylvania,2218,22,0.009918845807033363
Georgia,2198,65,0.029572338489535943
Texas,1881,26,0.013822434875066455
Colorado,1734,31,0.01787773933102653
Connecticut,1291,27,0.020914020139426802
Tennessee,1203,6,0.004987531172069825
Ohio,1137,19,0.016710642040457344
Indiana,981,24,0.024464831804281346
North Carolina,880,3,0.003409090909090909
Wisconsin,842,14,0.0166270783847981
Maryland,774,5,0.006459948320413436
Missouri,670,9,0.013432835820895522
Arizona,665,13,0.019548872180451128
Alabama,627,3,0.004784688995215311
Virginia,604,14,0.023178807947019868
Mississippi,579,8,0.013816925734024179
South Carolina,539,13,0.02411873840445269
Nevada,535,10,0.018691588785046728
Utah,480,2,0.004166666666666667
Oregon,414,11,0.026570048309178744
Minnesota,398,4,0.010050251256281407
Arkansas,381,3,0.007874015748031496
Oklahoma,322,8,0.024844720496894408
Kentucky,302,8,0.026490066225165563
District Of Columbia,267,3,0.011235955056179775
Iowa,235,3,0.01276595744680851
Idaho,230,3,0.013043478260869565
Rhode Island,203,0,0.0
Kansas,202,4,0.019801980198019802
New Mexico,191,1,0.005235602094240838
New Hampshire,187,2,0.0106951871657754
Vermont,184,10,0.05434782608695652
Maine,168,0,0.0
Delaware,165,2,0.012121212121212121
Montana,121,1,0.008264462809917356
Hawaii,120,0,0.0
West Virginia,96,1,0.010416666666666666
Nebraska,85,0,0.0
Wyoming,73,0,0.0
Alaska,69,1,0.014492753623188406
North Dakota,68,1,0.014705882352941176
South Dakota,58,1,0.017241379310344827
Guam,51,1,0.0196078431372549
Puerto Rico,79,3,0.0379746835443038
United States Virgin Islands,19,0,0.0
Wuhan Repatriated,3,0,0.0
Diamond Princess Cruise,46,0,0.0
Total:,103692,1692,0.016317555838444624
New York,38977,466,0.011955768786720373
New Jersey,6876,81,0.011780104712041885
California,4015,82,0.02042341220423412
Washington,3207,147,0.04583723105706267
Michigan,2856,60,0.02100840336134454
Illinois,2538,26,0.01024428684003152
Florida,2484,29,0.011674718196457327
Massachusetts,2417,25,0.01034340091021928
Louisiana,2305,83,0.03600867678958785
Pennsylvania,1687,16,0.00948429164196799
Georgia,1643,56,0.03408399269628728
Texas,1588,20,0.012594458438287154
Colorado,1430,24,0.016783216783216783
Tennessee,1098,3,0.00273224043715847
Connecticut,1012,21,0.020750988142292492
Ohio,867,15,0.01730103806228374
North Carolina,829,2,0.0024125452352231603
Wisconsin,707,10,0.014144271570014143
Indiana,645,17,0.02635658914728682
Maryland,580,4,0.006896551724137931
Alabama,531,1,0.0018832391713747645
Arizona,508,8,0.015748031496062992
Missouri,502,8,0.01593625498007968
Mississippi,485,5,0.010309278350515464
Virginia,460,13,0.02826086956521739
South Carolina,456,9,0.019736842105263157
Nevada,420,10,0.023809523809523808
Utah,402,1,0.0024875621890547263
Minnesota,346,2,0.005780346820809248
Arkansas,335,2,0.005970149253731343
Oregon,316,11,0.03481012658227848
District Of Columbia,267,3,0.011235955056179775
Oklahoma,250,7,0.028
Kentucky,248,5,0.020161290322580645
Idaho,189,3,0.015873015873015872
Iowa,180,1,0.005555555555555556
Kansas,168,3,0.017857142857142856
Rhode Island,165,0,0.0
Vermont,158,9,0.056962025316455694
New Hampshire,158,1,0.006329113924050633
Maine,155,0,0.0
New Mexico,136,1,0.007352941176470588
Delaware,130,1,0.007692307692307693
Hawaii,106,0,0.0
West Virginia,76,0,0.0
Montana,71,0,0.0
Nebraska,68,0,0.0
Alaska,59,0,0.0
Wyoming,56,0,0.0
North Dakota,52,0,0.0
South Dakota,46,1,0.021739130434782608
Guam,45,1,0.022222222222222223
Puerto Rico,64,2,0.03125
United States Virgin Islands,17,0,0.0
