country,state,cases,Recovered,deaths,mortality_rate
Afghanistan,,110,2.0,4,0.03636363636363636
Albania,,186,31.0,8,0.043010752688172046
Algeria,,409,29.0,26,0.06356968215158924
Andorra,,267,1.0,3,0.011235955056179775
Angola,,4,0.0,0,0.0
Antigua and Barbuda,,7,0.0,0,0.0
Argentina,,589,72.0,13,0.022071307300509338
Armenia,,329,28.0,1,0.00303951367781155
Australia,Australian Capital Territory,62,1.0,0,0.0
Australia,New South Wales,1405,4.0,7,0.00498220640569395
Australia,Northern Territory,12,0.0,0,0.0
Australia,Queensland,555,8.0,1,0.0018018018018018018
Australia,South Australia,257,6.0,0,0.0
Australia,Tasmania,47,3.0,0,0.0
Australia,Victoria,574,171.0,3,0.005226480836236934
Australia,Western Australia,231,1.0,2,0.008658008658008658
Austria,,7657,225.0,58,0.007574768185973619
Azerbaijan,,165,15.0,3,0.01818181818181818
Bahamas,,10,1.0,0,0.0
Bahrain,,466,227.0,4,0.008583690987124463
Bangladesh,,48,11.0,5,0.10416666666666667
Barbados,,24,0.0,0,0.0
Belarus,,94,32.0,0,0.0
Belgium,,7284,858.0,289,0.03967600219659528
Benin,,6,0.0,0,0.0
Bhutan,,3,0.0,0,0.0
Bolivia,,61,0.0,0,0.0
Bosnia and Herzegovina,,237,5.0,4,0.016877637130801686
Brazil,,3417,6.0,92,0.026924202516827627
Brunei,,115,11.0,0,0.0
Bulgaria,,293,9.0,3,0.010238907849829351
Burkina Faso,,180,12.0,9,0.05
Cabo Verde,,5,0.0,1,0.2
Cambodia,,99,11.0,0,0.0
Cameroon,,91,2.0,2,0.02197802197802198
Canada,Alberta,542,,2,0.0036900369003690036
Canada,British Columbia,725,,14,0.019310344827586208
Canada,Grand Princess,13,,0,0.0
Canada,Manitoba,39,,1,0.02564102564102564
Canada,New Brunswick,45,,0,0.0
Canada,Newfoundland and Labrador,102,,0,0.0
Canada,Nova Scotia,90,,0,0.0
Canada,Ontario,994,,18,0.018108651911468814
Canada,Prince Edward Island,9,,0,0.0
Canada,Quebec,2024,,18,0.008893280632411068
Canada,Saskatchewan,95,,0,0.0
Central African Republic,,3,0.0,0,0.0
Chad,,3,0.0,0,0.0
Chile,,1610,43.0,5,0.003105590062111801
China,Anhui,990,984.0,6,0.006060606060606061
