country,pop_density
afghanistan,56.937760009803
albania,104.61226277372299
algeria,17.7300750711665
american samoa,277.325
andorra,163.842553191489
angola,24.713052057431607
antigua and barbuda,218.83181818181802
arab world,37.372365365403795
argentina,16.2585100979651
armenia,103.68022479803301
aruba,588.027777777778
australia,3.24912948744283
austria,107.20692666757799
azerbaijan,120.265319946776
"bahamas, the",38.5254745254745
bahrain,2017.27369979138
bangladesh,1239.5793116693599
barbados,666.606976744186
belarus,46.7287999040892
belgium,377.21492734478204
belize,16.7939938623411
benin,101.853919829727
bermuda,1184.59257167194
bhutan,19.7775277714448
bolivia,10.4801458506416
bosnia and herzegovina,64.92048828125
botswana,3.9774248760432704
brazil,25.061716243087602
british virgin islands,198.68
brunei darussalam,81.39696394686909
bulgaria,64.7035372144436
burkina faso,72.1912828947368
burundi,435.17827102803705
cabo verde,134.92977667493798
cambodia,92.05641287106279
cameroon,53.3439889149796
canada,4.07530821431988
caribbean small states,18.1770161788317
cayman islands,267.391666666667
central african republic,7.490412212270058
central europe and the baltics,92.7664366303472
chad,12.2917336404066
channel islands,861.1060937864571
chile,25.189446066651893
china,148.348833270666
colombia,44.7487021180712
comoros,447.24447754022697
"congo, dem. rep.",37.0825923557045
"congo, rep.",15.3568462664715
costa rica,97.91306306306309
cote d'ivoire,78.8340534591195
croatia,73.0771979985704
cuba,108.99959623149401
curacao,25.0
cyprus,128.708333333333
czech republic,137.602887852888
denmark,138.067301738509
djibouti,41.368421052631604
dominica,95.5
dominican republic,219.97857586421
early-demographic dividend,98.13836364042
east asia & pacific,95.43160553419493
east asia & pacific (ida & ibrd countries),130.18545299129102
east asia & pacific (excluding high income),130.810431457567
ecuador,68.7886817522951
"egypt, arab rep.",98.8734692852479
el salvador,309.88146718146703
equatorial guinea,46.6657397504456
eritrea,25.0
estonia,30.386105360018398
eswatini,66.05761627906979
ethiopia,109.22455900000001
euro area,127.582277673283
europe & central asia,33.496885303403104
europe & central asia (ida & ibrd countries),20.0172566615243
europe & central asia (excluding high income),18.4773754089394
european union,121.078194096678
faroe islands,34.7399698278226
fiji,48.3570333880679
finland,18.1568556480537
fragile and conflict affected situations,39.86931253533729
france,122.33839573919902
french polynesia,75.8685792349727
gabon,8.224764233321691
"gambia, the",225.30652173912998
georgia,65.2752020714511
germany,237.3709697733
ghana,130.821429199262
gibraltar,3371.8
greece,83.22473235065941
greenland,0.136496528200755
grenada,327.805882352941
guam,306.977777777778
guatemala,160.953779395297
guinea,50.5222122741332
guinea-bissau,66.6539473684211
guyana,3.9573482346964703
haiti,403.59854862118993
heavily indebted poor countries (hipc),44.89578164541251
high income,34.4377658355898
honduras,85.6870319063366
"hong kong sar, china",7096.19047619048
hungary,107.906605545123
ibrd only,68.7859051970979
ida & ibrd total,68.7084518843392
ida blend,93.32562182873221
ida only,60.2621873819374
ida total,68.4840897212872
iceland,3.52692269326683
india,454.93807257524696
indonesia,147.75219008926
"iran, islamic rep.",50.222420123283996
iraq,88.53057003546171
ireland,70.452983016403
isle of man,147.50350877193
israel,410.526802218115
italy,205.45074794315602
jamaica,270.993074792244
japan,347.07345841562415
jordan,112.14249831043001
kazakhstan,6.76982590658221
kenya,90.29941666373828
kiribati,143.020987654321
"korea, dem. people’s rep.",212.19017523461497
"korea, rep.",529.652103632681
kosovo,25.0
kuwait,232.172222222222
kyrgyz republic,32.9290928050052
lao pdr,30.5957842287695
late-demographic dividend,51.408720555305
latin america & caribbean,32.005733368083604
latin america & caribbean (excluding high income),32.02146145971411
latin america & the caribbean (ida & ibrd countries),31.4141444422749
latvia,30.9833065294307
least developed countries: un classification,56.84132890190829
lebanon,669.4941348973607
lesotho,69.437812911726
liberia,50.030907392026606
libya,3.795632381190541
liechtenstein,236.9375
lithuania,44.5313513780643
low & middle income,69.2415960633107
low income,51.673738313444005
lower middle income,150.08151817641502
luxembourg,250.09382716049402
"macao sar, china",20777.5002607232
madagascar,45.1398556204881
malawi,192.440761561307
malaysia,95.9628214883579
maldives,1718.9866666666699
mali,15.635015858186
malta,1511.03125
marshall islands,324.516666666667
mauritania,4.27216357815077
mauritius,623.30197044335
mexico,64.9146264050001
