state,cases,deaths,mortality_rate
new york,52318,728,0.013914905004013914
new jersey,11124,140,0.012585400934915498
california,4980,104,0.020883534136546186
michigan,4650,111,0.023870967741935485
massachusetts,4257,44,0.0103359173126615
florida,3763,54,0.014350252458145097
washington,3723,175,0.0470051034112275
illinois,3491,47,0.013463191062732742
louisiana,3315,137,0.04132730015082956
pennsylvania,2751,34,0.012359142130134497
georgia,2366,69,0.029163144547759933
texas,2329,30,0.012881064834693002
colorado,1734,31,0.01787773933102653
tennessee,1512,7,0.004629629629629629
ohio,1406,25,0.017780938833570414
connecticut,1291,27,0.020914020139426802
indiana,1232,31,0.025162337662337664
maryland,992,5,0.005040322580645161
wisconsin,989,15,0.015166835187057633
north carolina,952,4,0.004201680672268907
missouri,838,10,0.011933174224343675
arizona,773,15,0.019404915912031046
virginia,739,17,0.023004059539918808
alabama,696,3,0.004310344827586207
mississippi,663,13,0.0196078431372549
south carolina,660,15,0.022727272727272728
nevada,621,10,0.01610305958132045
utah,602,2,0.0033222591362126247
oregon,479,13,0.027139874739039668
minnesota,441,5,0.011337868480725623
arkansas,404,3,0.007425742574257425
oklahoma,377,15,0.03978779840848806
district of columbia,304,4,0.013157894736842105
kentucky,302,8,0.026490066225165563
iowa,298,3,0.010067114093959731
kansas,261,5,0.019157088122605363
idaho,230,3,0.013043478260869565
delaware,213,3,0.014084507042253521
vermont,211,12,0.05687203791469194
maine,211,1,0.004739336492890996
new mexico,208,1,0.004807692307692308
rhode island,203,0,0.0
new hampshire,187,2,0.0106951871657754
montana,129,1,0.007751937984496124
hawaii,120,0,0.0
nebraska,96,2,0.020833333333333332
west virginia,96,1,0.010416666666666666
alaska,85,2,0.023529411764705882
north dakota,83,1,0.012048192771084338
wyoming,82,0,0.0
south dakota,68,1,0.014705882352941176
guam,51,1,0.0196078431372549
puerto rico,100,3,0.03
united states virgin islands,21,0,0.0
wuhan repatriated,3,0,0.0
diamond princess cruise,46,0,0.0
total:,120076,1993,0.016597821379792797
new york,46262,606,0.01309930396437681
new jersey,8825,108,0.012237960339943343
california,4791,94,0.019620121060321436
washington,3700,175,0.0472972972972973
michigan,3657,92,0.025157232704402517
massachusetts,3240,35,0.010802469135802469
florida,3198,46,0.014383989993746092
illinois,3026,34,0.011235955056179775
louisiana,2746,119,0.04333576110706482
pennsylvania,2218,22,0.009918845807033363
georgia,2198,65,0.029572338489535943
texas,1950,26,0.013333333333333334
colorado,1734,31,0.01787773933102653
connecticut,1291,27,0.020914020139426802
tennessee,1203,6,0.004987531172069825
ohio,1137,19,0.016710642040457344
indiana,981,24,0.024464831804281346
north carolina,880,3,0.003409090909090909
wisconsin,842,14,0.0166270783847981
maryland,774,5,0.006459948320413436
missouri,670,9,0.013432835820895522
arizona,665,13,0.019548872180451128
alabama,627,3,0.004784688995215311
virginia,604,14,0.023178807947019868
mississippi,579,8,0.013816925734024179
south carolina,539,13,0.02411873840445269
nevada,535,10,0.018691588785046728
utah,480,2,0.004166666666666667
oregon,414,11,0.026570048309178744
minnesota,398,4,0.010050251256281407
arkansas,381,3,0.007874015748031496
oklahoma,322,8,0.024844720496894408
district of columbia,304,4,0.013157894736842105
kentucky,302,8,0.026490066225165563
iowa,235,3,0.01276595744680851
idaho,230,3,0.013043478260869565
rhode island,203,0,0.0
kansas,202,4,0.019801980198019802
new mexico,191,1,0.005235602094240838
new hampshire,187,2,0.0106951871657754
vermont,184,10,0.05434782608695652
maine,168,1,0.005952380952380952
delaware,165,2,0.012121212121212121
montana,121,1,0.008264462809917356
hawaii,120,0,0.0
west virginia,96,1,0.010416666666666666
nebraska,85,0,0.0
wyoming,73,0,0.0
alaska,69,1,0.014492753623188406
north dakota,68,1,0.014705882352941176
south dakota,58,1,0.017241379310344827
guam,51,1,0.0196078431372549
puerto rico,79,3,0.0379746835443038
united states virgin islands,19,0,0.0
